ds,yhat,yhat_lower,yhat_upper
2023-01-01,0.8061002905916472,-0.9434800199806577,2.5118316499105937
2023-01-13,1.3735245184105067,-0.33876808685610116,3.084537860394352
2023-01-25,2.6074324295845255,0.8040227445477367,4.331746717903212
2023-02-06,4.65080114336132,2.9163204255162904,6.422830618088249
2023-02-18,5.469117453308312,3.8555876399680065,7.177316483902293
2023-03-02,6.346737464743777,4.558642571967918,8.281768471690558
2023-03-14,7.378397788033572,5.576970297443309,8.905941192616213
2023-03-26,6.67867981034996,4.888790075887312,8.38726461086721
2023-04-07,5.818881145040871,4.076176645925576,7.521293483912634
2023-04-19,5.665509331397402,3.964626811803778,7.3302895839100914
2023-05-01,4.865374861065957,3.1277625772847824,6.5244629793425535
2023-05-13,3.111981745442694,1.419732561860983,4.888774912150459
2023-05-25,0.858727383526483,-0.8590525978034178,2.4821028645279646
2023-06-06,-1.780910680627288,-3.531570120603377,0.1347363735418926
2023-06-18,-3.513093118271147,-5.197037626541497,-1.8790646394990609
2023-06-30,-4.364582260802432,-6.012673027489047,-2.6279723595125746
2023-07-12,-5.815524387883196,-7.5857632652120515,-4.128851442117952
2023-07-24,-8.089361208082774,-9.842008080453857,-6.3558227962295435
2023-08-05,-11.206399044905208,-12.889143000601342,-9.379983423637038
2023-08-17,-13.379445553659288,-15.122597732364406,-11.688807245806464
2023-08-29,-12.581408422673977,-14.36695156824821,-10.762416016757712
2023-09-10,-12.856836242846791,-14.466979060199048,-11.095144216014933
2023-09-22,-15.780847210508258,-17.60766848233436,-14.080939318040619
2023-10-04,-17.331737925297823,-19.061422429708035,-15.645762933247983
2023-10-16,-16.826536933202497,-18.660265575533348,-15.026956952155555
2023-10-28,-17.713796662542173,-19.403186858081654,-15.9390266993184
2023-11-09,-18.224386396088768,-19.973393236177984,-16.4332571900138
2023-11-21,-16.779876104617657,-18.440719492134583,-15.08068639163432
2023-12-03,-16.233137793232448,-17.936760967877326,-14.478073938467334
2023-12-15,-16.035407750790235,-17.753017063236673,-14.286533579064237
2023-12-27,-15.126403394996187,-16.89989590220299,-13.319728805457075
2024-01-08,-15.408663417075099,-17.158105521751054,-13.772275047540656
2024-01-20,-16.24067751420276,-17.8489218287507,-14.5175390846779
2024-02-01,-15.70301198804895,-17.36814860420696,-13.989535635835418
2024-02-13,-16.556166189435785,-18.26856648946684,-14.752788771897764
2024-02-25,-18.205596172729663,-19.929449711953044,-16.447840814849233
2024-03-08,-19.218028998698415,-21.05641400747854,-17.482902855281363
2024-03-20,-21.35126158537309,-22.96223873520167,-19.622198439745866
2024-04-01,-24.734119453309347,-26.353295620656514,-23.009520769388367
2024-04-13,-27.11183969151768,-28.784041035856973,-25.326716026929137
2024-04-25,-29.30168138471481,-31.01591185679328,-27.545042383015325
2024-05-07,-32.605094137263166,-34.22284740975784,-30.838124100046453
2024-05-19,-37.96153206600284,-39.629713916450704,-36.22896262778219
2024-05-31,-43.86515007674819,-45.652438317813214,-42.06470712685183
2024-06-12,-49.48641305730462,-51.14297528515772,-47.67691066333639
2024-06-24,-53.88312987559008,-55.68474459678058,-52.14300388320054
2024-07-06,-58.51530951894412,-60.278311583836505,-56.83805987107041
2024-07-18,-64.06867891534755,-65.7773728386865,-62.365602689417805
2024-07-30,-70.55816263048295,-72.2401189639135,-68.70587582130412
2024-08-11,-77.21259471809904,-78.91957981596235,-75.49872725901197
2024-08-23,-81.7961474529397,-83.48049413669266,-80.07194814164353
2024-09-04,-84.6213417348454,-86.34642891083476,-82.96231828349553
2024-09-16,-89.88608442189117,-91.54217586975315,-88.18670446100812
2024-09-28,-95.87960542436188,-97.63910443851238,-94.13768561576337
2024-10-10,-99.40047818595139,-101.11373028525857,-97.65595908759168
2024-10-22,-103.05916094167713,-104.80631191534485,-101.39891608446126
2024-11-03,-107.78212134470924,-109.70045417260688,-106.10230368446692
2024-11-15,-110.52753886405985,-112.22763644060912,-108.81938503747854
2024-11-27,-112.87016591610669,-114.64775377280422,-111.1311874720427
2024-12-09,-116.43327210191748,-118.10847644361824,-114.85706122060937
2024-12-21,-119.05913794504728,-120.86144450122345,-117.3517352533329
2025-01-02,-121.78946501659676,-123.61400499197441,-120.10200456197235
2025-01-14,-124.366085997776,-126.12249665249021,-122.57343589190737
2025-01-26,-125.99439282331572,-127.6720698805596,-124.24056778552394
2025-02-07,-127.1052078070433,-128.81405377625177,-125.50809274695094
2025-02-19,-129.4649734698931,-131.1043738638371,-127.80923712006619
2025-03-03,-131.53178520160947,-133.23619111192272,-129.81032123913835
2025-03-15,-133.70426556042435,-135.4669761856531,-131.90603217410705
2025-03-27,-137.62982283351116,-139.36331729534496,-135.8308587643489
2025-04-08,-141.39050514415058,-143.26860788351723,-139.64339477139666
2025-04-20,-143.30138459885788,-145.11244386871357,-141.5832504849418
2025-05-02,-146.03712400442313,-147.7418522806719,-144.36585734641142
2025-05-14,-149.63868866726455,-151.42014610817327,-147.9913153199385
2025-05-26,-153.74899272747479,-155.50557152252586,-151.91695131608734
2025-06-07,-157.9666756599345,-159.71783719840388,-156.2991012104313
2025-06-19,-161.13990231844883,-162.88190998539096,-159.44573001892445
2025-07-01,-163.6069659508438,-165.341982665862,-161.8303907376571
2025-07-13,-166.78904495890762,-168.66946131055383,-165.12664172260725
2025-07-25,-170.90854314354777,-172.69849608821892,-169.19020032408258
2025-08-06,-174.57100287066095,-176.2736862640915,-172.86551575617827
2025-08-18,-176.91657774804116,-178.60753553401204,-175.3276016444016
2025-08-30,-176.37855550114054,-178.26253895636785,-174.5779919053139
2025-09-11,-176.67232043640126,-178.39569002243007,-174.9602619420996
2025-09-23,-179.341674274815,-181.06176834916806,-177.546567151239
2025-10-05,-180.14118779271215,-181.80319799652003,-178.41806685368948
2025-10-17,-179.31088799996655,-181.01524700613268,-177.67367038914796
2025-10-29,-180.00324252255908,-181.71609379392504,-178.36874601913857
2025-11-10,-179.7594612180053,-181.45149501611598,-178.1022842633083
2025-11-22,-177.79643335235238,-179.55914330217445,-176.23199351241075
2025-12-04,-176.96408524027112,-178.55226428689267,-175.26639200342694
2025-12-16,-176.1524436471324,-177.96477895147058,-174.52066945017853
2025-12-28,-174.43033611966828,-176.23162822602592,-172.6821910803004
2026-01-09,-174.10053822204142,-175.74452225733302,-172.2285017894474
2026-01-21,-173.96694644487013,-175.70733919306025,-172.0849432167937
2026-02-02,-172.53103046699343,-174.16423758606203,-170.8011277372745
2026-02-14,-171.50860653408336,-173.21577238364446,-169.7336807473855
2026-02-26,-171.04512677222098,-172.71560524947228,-169.46239187811275
2026-03-10,-170.0004022805651,-171.66960809723125,-168.28983487331902
2026-03-22,-170.3216813054978,-172.1280402292275,-168.66096044709536
2026-04-03,-171.61452698984,-173.41737673846842,-169.933824419552
2026-04-15,-171.79479143468663,-173.64347991637362,-169.9658687255699
2026-04-27,-172.043778241684,-173.73383539914124,-170.29849450793716
2026-05-09,-173.39597771619003,-175.18753640238472,-171.54005261807538
2026-05-21,-175.06173806020044,-176.87980055336203,-173.25922088369913
2026-06-02,-177.25945180842345,-179.07052917270772,-175.58309932532865
2026-06-14,-178.98653015316472,-180.758221613494,-177.28401373279638
2026-06-26,-179.53652922092854,-181.23612115531736,-177.86981416020305
2026-07-08,-180.28560334249505,-182.1578000171238,-178.65414634871124
2026-07-20,-181.97165188518971,-183.73677658947742,-180.11541768037128
2026-08-01,-184.5867045492621,-186.30884251252954,-182.75956655992
2026-08-13,-187.09553806664195,-188.7844893951188,-185.49352349186478
2026-08-25,-186.85519679839578,-188.59287111071578,-185.16699560203602
2026-09-06,-185.37355201341734,-187.2855399257476,-183.5825706948665
2026-09-18,-186.55898170769166,-188.23742125736675,-184.7216648460709
2026-09-30,-187.85929689806534,-189.77085656059023,-186.06492347140312
2026-10-12,-186.4601259075287,-188.05835738951305,-184.57847180693537
2026-10-24,-185.6589624988397,-187.442357916738,-183.8834574545537
2026-11-05,-185.5712259106884,-187.24729871526716,-183.82344285104512
2026-11-17,-183.3775678819197,-185.11160816099394,-181.66704461570998
2026-11-29,-181.20043457141838,-182.9600048758494,-179.4949708437439
2026-12-11,-180.0690274974778,-181.8376699471645,-178.448006348148
2026-12-23,-177.86033354698722,-179.6405046022005,-176.0552244729293
2027-01-04,-176.0990584903146,-178.0613303288994,-174.10673850628592
2027-01-16,-175.60768341091148,-177.95266986381117,-173.46753319182534
2027-01-28,-173.94892015331405,-176.49476426985808,-171.4849331891699
2027-02-09,-172.0920978271661,-175.01395430760726,-169.4436513428276
2027-02-21,-171.43381237888008,-174.85391757283,-168.14923037686287
2027-03-05,-170.30726021945677,-174.15624512488353,-166.59371677577414
2027-03-17,-169.5746764706431,-174.11187129007286,-165.18833646128155
2027-03-29,-170.53995495156,-175.69817467189088,-165.62593295209663
2027-04-10,-171.041243527068,-177.13462938408344,-164.90302477396642
2027-04-22,-170.76660356035578,-177.51840783308282,-164.02508786928504
2027-05-04,-171.45397775675283,-179.3159469755306,-163.7204879245543
2027-05-16,-172.91719864889973,-181.42043234601655,-164.33789077941978
2027-05-28,-174.90465433063903,-184.42304962090034,-165.16874851396352
