ds,yhat,yhat_lower,yhat_upper
2026-05-08,-101.5114961112,-178.81296764863302,-21.453603293908685
2026-05-20,-104.54356462469127,-184.9660128218797,-18.46274560118084
2026-06-01,-107.5756331382089,-188.62196179692194,-25.892527511313304
2026-06-13,-110.6077016517081,-188.33853853411847,-26.398341122116562
2026-06-25,-113.63977016526869,-191.47078384573817,-32.505388609853675
2026-07-02,-115.40847679819117,-199.75426591413174,-35.75058850110074
2026-07-14,-118.44054531173552,-204.96329614189787,-36.779365615787185
2026-07-26,-121.47261382521188,-206.40065929128087,-47.78078573635035
2026-08-07,-124.50468233859941,-210.15779984554862,-42.00250486705343
2026-08-19,-127.53675085194446,-208.21232615244685,-50.37608468760428
2026-08-31,-130.56881936528947,-216.19799892445897,-50.286736949957096
2026-09-12,-133.60088787863452,-214.11059697882433,-57.31092913704483
2026-09-24,-136.63295639197958,-212.73031323409722,-54.301293192514485
2026-10-06,-139.66502490532463,-225.13522492608814,-63.12010012630309
2026-10-18,-142.69709341866965,-225.32349042080054,-58.84074059017252
2026-10-30,-145.7291619320147,-226.27439246388016,-60.39722802229371
