ds,y
2023-01-01,0.08
2023-01-13,0.51
2023-01-25,3.41
2023-02-06,6.33
2023-02-18,4.29
2023-03-02,5.15
2023-03-14,8.96
2023-03-26,7.7
2023-04-07,5.32
2023-04-19,6.62
2023-05-01,3.94
2023-05-13,2.74
2023-05-25,2.54
2023-06-06,-3.05
2023-06-18,-4.59
2023-06-30,-4.49
2023-07-12,-7.34
2023-07-24,-6.95
2023-08-05,-11.06
2023-08-17,-13.73
2023-08-29,-10.11
2023-09-10,-14.47
2023-09-22,-14.99
2023-10-04,-18.44
2023-10-16,-17.35
2023-10-28,-16.42
2023-11-09,-18.7
2023-11-21,-15.8
2023-12-03,-17.29
2023-12-15,-16.41
2023-12-27,-16.68
2024-01-08,-12.07
2024-01-20,-15.43
2024-02-01,-17.57
2024-02-13,-14.79
2024-02-25,-19.46
2024-03-08,-18.33
2024-03-20,-24.16
2024-04-01,-25.45
2024-04-13,-25.66
2024-04-25,-28.15
2024-05-07,-33.11
2024-05-19,-38.01
2024-05-31,-43.12
2024-06-12,-50.34
2024-06-24,-54.33
2024-07-06,-59.39
2024-07-18,-62.27
2024-07-30,-69.18
2024-08-11,-78.52
2024-08-23,-80.17
2024-09-04,-86.64
2024-09-16,-92.09
2024-09-28,-94.4
2024-10-10,-97.93
2024-10-22,-102.06
2024-11-03,-108.84
2024-11-15,-111.17
2024-11-27,-112.99
2024-12-09,-114.55
2024-12-21,-119.68
2025-01-02,-121.52
2025-01-14,-125.44
2025-01-26,-127.83
2025-02-07,-126.47
2025-02-19,-127.81
2025-03-03,-132.81
2025-03-15,-133.45
2025-03-27,-137.35
2025-04-08,-142.07
2025-04-20,-143.34
2025-05-02,-144.45
2025-05-14,-150.61
2025-05-26,-151.14
2025-06-07,-162.09
2025-06-19,-159.28
2025-07-01,-163.88
2025-07-13,-167.68
2025-07-25,-169.85
2025-08-06,-176.18
2025-08-18,-175.24
2025-08-30,-176.07
2025-09-11,-175.52
2025-09-23,-180.15
2025-10-05,-181.28
2025-10-17,-180.94
2025-10-29,-178.21
2025-11-10,-178.76
2025-11-22,-179.51
2025-12-04,-176.61
2025-12-16,-176.19
2025-12-28,-173.38
2026-01-09,-175.14
2026-01-21,-173.29
2026-02-02,-172.37
2026-02-14,-173.46
2026-02-26,-169.72
2026-03-10,-169.49
2026-03-22,-169.98
2026-04-03,-170.76
2026-04-15,-173.56
2026-04-27,-172.75
2026-05-09,-173.85
2026-05-21,-176.14
2026-06-02,-176.61
2026-06-14,-177.32
2026-06-26,-176.41
2026-07-08,-181.21
2026-07-20,-182.67
2026-08-01,-184.71
2026-08-13,-189.23
2026-08-25,-186.74
2026-09-06,-187.18
2026-09-18,-183.12
2026-09-30,-187.81
2026-10-12,-186.48
2026-10-24,-186.33
2026-11-05,-187.32
2026-11-17,-181.87
2026-11-29,-181.1
